Custid,Dayswus,Age,Edu,Income,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,YearsAsCustomer,logIncome,logLTV,FrequencyScore,RecencyScore,MonetaryScore,RFM
10,978.0,43.0,15.0,62181.0,12.0,62.0,391.0,62.0,31.0,67.0,10.0,17.0,1.0,6.0,21.0,58.0,7.0,2.7,11.037804765825014,4.127134385045092,2,2,3,7
11,1119.0,61.0,19.0,79789.0,16.0,18.0,590.0,263.0,12.0,72.0,3.0,22.0,3.0,1.0,14.0,30.0,5.0,3.1,11.287140929324929,5.572154032177765,3,4,3,10
12,1043.0,39.0,16.0,54468.0,2.0,63.0,37.0,-3.0,59.0,64.0,4.0,19.0,2.0,11.0,66.0,56.0,7.0,2.9,10.905368652244466,0.0,1,2,1,4
13,807.0,74.0,15.0,96642.0,16.0,83.0,596.0,252.0,2.0,15.0,17.0,37.0,13.0,18.0,12.0,17.0,2.0,2.2,11.478768708318734,5.529429087511423,3,1,3,7
14,736.0,36.0,15.0,40516.0,1.0,440.0,11.0,-2.0,88.0,54.0,4.0,23.0,15.0,4.0,48.0,52.0,6.0,2.0,10.609452236806687,0.0,1,1,1,3
15,820.0,36.0,16.0,57377.0,3.0,55.0,51.0,-11.0,71.0,70.0,4.0,20.0,1.0,5.0,74.0,41.0,4.0,2.2,10.957398805143105,0.0,1,2,1,4
16,657.0,58.0,17.0,95329.0,18.0,24.0,716.0,285.0,13.0,50.0,7.0,31.0,2.0,9.0,12.0,21.0,2.0,1.8,11.465089345555336,5.652489180268651,3,4,3,10
17,789.0,46.0,16.0,58394.0,3.0,45.0,64.0,-6.0,58.0,81.0,1.0,13.0,2.0,3.0,29.0,48.0,6.0,2.2,10.974968423812204,0.0,1,3,1,5
18,1067.0,64.0,18.0,83975.0,9.0,76.0,261.0,87.0,20.0,58.0,3.0,27.0,4.0,8.0,10.0,24.0,2.0,2.9,11.338274414480493,4.465908118654584,2,2,2,6
19,723.0,63.0,19.0,88794.0,13.0,4.0,431.0,108.0,9.0,45.0,4.0,36.0,6.0,10.0,2.0,26.0,2.0,2.0,11.394074359129903,4.68213122712422,3,4,3,10
20,693.0,47.0,19.0,56307.0,2.0,54.0,41.0,-1.0,53.0,88.0,1.0,10.0,1.0,0.0,0.0,45.0,5.0,1.9,10.93857414032436,0.0,1,2,1,4
21,805.0,51.0,15.0,82531.0,15.0,30.0,544.0,237.0,13.0,72.0,7.0,15.0,4.0,2.0,8.0,56.0,6.0,2.2,11.320929259319332,5.4680601411351315,3,3,3,9
22,878.0,55.0,15.0,80000.0,10.0,70.0,298.0,57.0,27.0,70.0,11.0,17.0,1.0,0.0,1.0,40.0,6.0,2.4,11.289781913656018,4.04305126783455,2,2,2,6
23,927.0,22.0,16.0,49501.0,3.0,50.0,63.0,-5.0,66.0,17.0,4.0,61.0,5.0,13.0,27.0,60.0,7.0,2.5,10.809748150372926,0.0,1,3,1,5
24,1232.0,56.0,20.0,84366.0,23.0,92.0,1020.0,353.0,16.0,66.0,1.0,27.0,3.0,4.0,1.0,35.0,5.0,3.4,11.34291975581887,5.8664680569332965,3,1,3,7
25,785.0,38.0,19.0,37902.0,2.0,92.0,19.0,-3.0,70.0,68.0,9.0,22.0,1.0,1.0,11.0,60.0,6.0,2.2,10.542759160126755,0.0,1,1,1,3
26,1151.0,53.0,14.0,72764.0,26.0,83.0,1220.0,379.0,8.0,40.0,2.0,42.0,6.0,10.0,9.0,43.0,8.0,3.2,11.194976606382106,5.937536205082426,4,1,4,9
27,877.0,41.0,19.0,72560.0,9.0,12.0,255.0,88.0,9.0,73.0,1.0,24.0,1.0,1.0,12.0,38.0,3.0,2.4,11.192169084789018,4.477336814478207,2,4,2,8
28,695.0,54.0,16.0,73880.0,12.0,16.0,393.0,106.0,21.0,86.0,2.0,9.0,1.0,2.0,7.0,41.0,4.0,1.9,11.210197434313177,4.663439094112067,2,4,3,9
29,765.0,69.0,16.0,89633.0,18.0,4.0,716.0,262.0,14.0,44.0,5.0,45.0,5.0,1.0,20.0,39.0,5.0,2.1,11.40347883472734,5.568344503761097,3,4,3,10
30,1051.0,52.0,17.0,87489.0,12.0,13.0,393.0,110.0,15.0,89.0,1.0,10.0,0.0,0.0,18.0,49.0,5.0,2.9,11.379268350157288,4.700480365792417,2,4,3,9
31,1024.0,51.0,15.0,72922.0,16.0,31.0,601.0,-10.0,52.0,67.0,0.0,23.0,7.0,2.0,16.0,52.0,7.0,2.8,11.197145655734086,0.0,3,3,3,9
32,1077.0,22.0,16.0,24497.0,3.0,41.0,46.0,1.0,45.0,12.0,25.0,29.0,21.0,13.0,52.0,73.0,9.0,3.0,10.106305940055739,0.0,1,3,1,5
33,1075.0,62.0,16.0,84276.0,29.0,68.0,1413.0,498.0,3.0,31.0,12.0,40.0,5.0,12.0,5.0,42.0,7.0,2.9,11.341852405947021,6.210600077024653,4,2,4,10
34,647.0,36.0,18.0,55033.0,5.0,33.0,54.0,-10.0,79.0,45.0,8.0,41.0,1.0,5.0,17.0,59.0,5.0,1.8,10.915688284286576,0.0,2,3,1,6
35,987.0,75.0,16.0,111889.0,38.0,12.0,1980.0,745.0,2.0,26.0,11.0,37.0,16.0,10.0,4.0,15.0,3.0,2.7,11.625262587412646,6.61338421837956,4,4,4,12
36,966.0,34.0,18.0,54605.0,2.0,47.0,41.0,-9.0,88.0,42.0,0.0,45.0,5.0,7.0,11.0,59.0,7.0,2.6,10.90788073263183,0.0,1,3,1,5
37,1100.0,45.0,18.0,51806.0,1.0,498.0,18.0,-7.0,93.0,58.0,1.0,34.0,4.0,3.0,18.0,54.0,6.0,3.0,10.855261251655614,0.0,1,1,1,3
38,556.0,49.0,17.0,69556.0,9.0,83.0,260.0,76.0,11.0,76.0,1.0,20.0,1.0,1.0,19.0,43.0,4.0,1.5,11.14988746250196,4.330733340286331,2,1,2,5
39,558.0,51.0,15.0,79223.0,17.0,29.0,657.0,191.0,26.0,89.0,0.0,6.0,3.0,2.0,2.0,59.0,8.0,1.5,11.280021939683829,5.25227342804663,3,3,3,9
40,1132.0,77.0,16.0,118729.0,41.0,80.0,2164.0,664.0,1.0,31.0,0.0,40.0,14.0,15.0,9.0,11.0,2.0,3.1,11.684598864153216,6.498282149476434,4,1,4,9
41,1081.0,71.0,17.0,110146.0,33.0,35.0,1671.0,554.0,3.0,55.0,11.0,31.0,2.0,1.0,5.0,9.0,2.0,3.0,11.609562037454003,6.317164686747284,4,3,4,11
42,822.0,70.0,18.0,111394.0,31.0,57.0,1535.0,525.0,2.0,44.0,22.0,24.0,8.0,3.0,13.0,17.0,2.0,2.3,11.620828745060727,6.263398262591624,4,2,4,10
43,1088.0,53.0,17.0,65900.0,12.0,31.0,384.0,84.0,24.0,88.0,1.0,9.0,1.0,1.0,2.0,45.0,6.0,3.0,11.095893720490599,4.430816798843313,2,3,2,7
44,1169.0,65.0,19.0,97061.0,23.0,71.0,1020.0,242.0,17.0,65.0,4.0,27.0,2.0,2.0,10.0,46.0,7.0,3.2,11.483094925811551,5.488937726156687,3,2,3,8
45,655.0,19.0,13.0,33631.0,3.0,36.0,38.0,-2.0,66.0,12.0,25.0,34.0,23.0,6.0,23.0,42.0,3.0,1.8,10.423203539647567,0.0,1,3,1,5
46,928.0,33.0,17.0,43275.0,4.0,57.0,93.0,9.0,30.0,51.0,1.0,35.0,7.0,6.0,6.0,70.0,8.0,2.5,10.67533038004441,2.1972245773362196,1,2,2,5
47,696.0,36.0,19.0,44414.0,2.0,36.0,26.0,-6.0,71.0,70.0,0.0,26.0,2.0,2.0,10.0,57.0,7.0,1.9,10.701310014034204,0.0,1,3,1,5
48,689.0,49.0,16.0,57814.0,5.0,18.0,73.0,-25.0,79.0,78.0,1.0,8.0,6.0,7.0,21.0,34.0,2.0,1.9,10.964986239864137,0.0,2,4,2,8
49,610.0,78.0,19.0,113139.0,22.0,76.0,946.0,454.0,1.0,45.0,1.0,43.0,4.0,8.0,18.0,20.0,2.0,1.7,11.63637243025105,6.118097198041348,3,2,3,8
50,953.0,24.0,18.0,30225.0,5.0,30.0,119.0,-9.0,64.0,14.0,12.0,31.0,24.0,19.0,41.0,75.0,9.0,2.6,10.316424675482994,0.0,2,3,2,7
51,624.0,55.0,19.0,87755.0,26.0,15.0,1203.0,515.0,4.0,80.0,1.0,12.0,3.0,4.0,9.0,21.0,3.0,1.7,11.382304119761791,6.244166900663736,4,4,4,12
52,1206.0,41.0,16.0,49533.0,11.0,80.0,342.0,-58.0,77.0,49.0,11.0,19.0,11.0,10.0,34.0,39.0,7.0,3.3,10.810394393099942,0.0,2,1,2,5
53,1058.0,42.0,16.0,76150.0,8.0,45.0,222.0,-29.0,71.0,82.0,2.0,15.0,0.0,1.0,19.0,53.0,7.0,2.9,11.240460358323308,0.0,2,3,2,7
54,650.0,77.0,15.0,99058.0,30.0,55.0,1469.0,433.0,2.0,32.0,12.0,42.0,14.0,0.0,2.0,15.0,2.0,1.8,11.503460816154442,6.07073772800249,4,2,4,10
55,729.0,77.0,15.0,116627.0,32.0,91.0,1602.0,869.0,1.0,40.0,8.0,38.0,13.0,1.0,6.0,12.0,1.0,2.0,11.666736086984383,6.767343125265392,4,1,4,9
56,987.0,39.0,17.0,49722.0,12.0,32.0,393.0,36.0,38.0,70.0,0.0,22.0,2.0,6.0,17.0,49.0,8.0,2.7,10.814202770077097,3.58351893845611,2,3,3,8
57,808.0,38.0,15.0,69894.0,11.0,76.0,342.0,54.0,28.0,46.0,1.0,28.0,25.0,0.0,26.0,59.0,7.0,2.2,11.154735087627833,3.9889840465642745,2,2,2,6
58,947.0,21.0,15.0,16324.0,3.0,91.0,29.0,-7.0,84.0,22.0,15.0,29.0,17.0,17.0,17.0,44.0,5.0,2.6,9.700391696525696,0.0,1,1,1,3
59,749.0,43.0,18.0,64017.0,9.0,4.0,258.0,-21.0,63.0,68.0,3.0,24.0,1.0,5.0,7.0,35.0,5.0,2.1,11.066903952069735,0.0,2,4,2,8
60,830.0,76.0,17.0,115158.0,32.0,96.0,1607.0,490.0,0.0,47.0,1.0,47.0,3.0,2.0,1.0,15.0,2.0,2.3,11.654060377433932,6.194405391104672,4,1,4,9
61,909.0,29.0,19.0,45969.0,6.0,87.0,152.0,-2.0,52.0,46.0,7.0,37.0,6.0,4.0,11.0,53.0,8.0,2.5,10.735722535246286,0.0,2,1,2,5
62,638.0,22.0,16.0,48905.0,2.0,91.0,31.0,-2.0,62.0,7.0,8.0,30.0,28.0,27.0,25.0,59.0,6.0,1.7,10.797634919724594,0.0,1,1,1,3
63,947.0,21.0,15.0,37446.0,10.0,58.0,299.0,56.0,19.0,24.0,33.0,28.0,4.0,11.0,44.0,35.0,6.0,2.6,10.530655174162098,4.02535169073515,2,2,2,6
64,1074.0,77.0,15.0,140628.0,48.0,36.0,2589.0,1608.0,0.0,39.0,7.0,40.0,6.0,8.0,8.0,18.0,3.0,2.9,11.853873385046603,7.382746449738912,4,3,4,11
65,1126.0,42.0,17.0,56884.0,11.0,21.0,345.0,-160.0,87.0,75.0,0.0,22.0,1.0,2.0,13.0,42.0,7.0,3.1,10.948769385492588,0.0,2,4,2,8
66,629.0,47.0,20.0,82001.0,20.0,28.0,829.0,252.0,9.0,89.0,1.0,9.0,1.0,1.0,2.0,48.0,7.0,1.7,11.314486721293981,5.529429087511423,3,3,3,9
67,716.0,56.0,14.0,96456.0,17.0,14.0,652.0,257.0,4.0,51.0,12.0,12.0,19.0,7.0,3.0,45.0,4.0,2.0,11.476842224797148,5.54907608489522,3,4,3,10
68,884.0,29.0,17.0,46304.0,2.0,2.0,33.0,-1.0,56.0,45.0,1.0,51.0,0.0,2.0,20.0,58.0,6.0,2.4,10.74298362943121,0.0,1,4,1,6
69,561.0,60.0,19.0,99855.0,24.0,15.0,1075.0,232.0,17.0,72.0,1.0,25.0,1.0,1.0,2.0,24.0,2.0,1.5,11.511474412702913,5.44673737166631,3,4,3,10
70,794.0,56.0,19.0,81042.0,10.0,11.0,302.0,65.0,14.0,56.0,0.0,34.0,3.0,7.0,8.0,21.0,2.0,2.2,11.302722817788819,4.174387269895637,2,4,2,8
71,818.0,57.0,16.0,75436.0,14.0,32.0,491.0,149.0,10.0,60.0,4.0,33.0,2.0,1.0,2.0,29.0,3.0,2.2,11.231039893632255,5.003946305945459,3,3,3,9
72,846.0,27.0,18.0,43851.0,4.0,78.0,49.0,-12.0,87.0,58.0,1.0,27.0,8.0,6.0,17.0,42.0,5.0,2.3,10.688552802557403,0.0,1,2,1,4
73,1170.0,66.0,19.0,99482.0,38.0,12.0,1983.0,576.0,1.0,21.0,1.0,52.0,1.0,24.0,24.0,10.0,2.0,3.2,11.507732002258875,6.3561076606958915,4,4,4,12
74,1139.0,20.0,14.0,24036.0,4.0,41.0,89.0,-7.0,69.0,11.0,13.0,43.0,15.0,17.0,31.0,67.0,9.0,3.1,10.087307985453819,0.0,1,3,2,6
75,1239.0,28.0,18.0,44279.0,4.0,21.0,75.0,-7.0,69.0,38.0,1.0,54.0,3.0,4.0,4.0,62.0,8.0,3.4,10.698265803008391,0.0,1,4,2,7
76,594.0,52.0,15.0,77559.0,13.0,26.0,436.0,143.0,21.0,16.0,21.0,41.0,16.0,6.0,4.0,58.0,6.0,1.6,11.25879421602953,4.962844630259907,3,4,3,10
77,781.0,29.0,18.0,66472.0,11.0,63.0,343.0,11.0,44.0,36.0,5.0,50.0,9.0,0.0,9.0,53.0,6.0,2.1,11.104536085344817,2.3978952727983707,2,2,2,6
78,1136.0,74.0,18.0,125445.0,38.0,96.0,1982.0,822.0,0.0,45.0,1.0,47.0,6.0,1.0,7.0,13.0,2.0,3.1,11.739622694483735,6.71174039505618,4,1,4,9
79,802.0,43.0,17.0,55672.0,4.0,2.0,46.0,-6.0,70.0,59.0,4.0,30.0,5.0,2.0,7.0,59.0,4.0,2.2,10.927232606524687,0.0,1,4,1,6
80,1167.0,20.0,14.0,50293.0,9.0,69.0,256.0,3.0,48.0,7.0,22.0,32.0,21.0,18.0,47.0,66.0,9.0,3.2,10.825621181393542,1.0986122886681098,2,2,2,6
81,1094.0,34.0,16.0,35980.0,5.0,8.0,118.0,41.0,9.0,33.0,7.0,25.0,33.0,2.0,14.0,52.0,7.0,3.0,10.490718507504525,3.713572066704308,2,4,2,8
82,967.0,64.0,18.0,86768.0,17.0,33.0,659.0,194.0,16.0,32.0,2.0,26.0,13.0,27.0,1.0,26.0,3.0,2.6,11.370993169080842,5.267858159063328,3,3,3,9
83,1224.0,21.0,14.0,33492.0,4.0,68.0,92.0,-5.0,62.0,9.0,10.0,31.0,25.0,25.0,36.0,71.0,9.0,3.4,10.419061883324323,0.0,1,2,2,5
84,701.0,37.0,15.0,54559.0,2.0,50.0,41.0,1.0,45.0,38.0,8.0,38.0,11.0,5.0,35.0,43.0,4.0,1.9,10.907037963903628,0.0,1,3,1,5
85,934.0,21.0,15.0,36562.0,8.0,3.0,217.0,51.0,10.0,19.0,22.0,22.0,15.0,22.0,20.0,54.0,7.0,2.6,10.506764728667031,3.9318256327243257,2,4,2,8
86,843.0,54.0,16.0,80289.0,29.0,53.0,1407.0,437.0,4.0,87.0,1.0,11.0,0.0,0.0,8.0,52.0,8.0,2.3,11.293387904250002,6.07993319509559,4,2,4,10
87,924.0,37.0,17.0,51347.0,2.0,19.0,34.0,-12.0,84.0,48.0,9.0,36.0,3.0,4.0,43.0,55.0,6.0,2.5,10.84636179105997,0.0,1,4,1,6
88,1201.0,70.0,14.0,96203.0,43.0,87.0,2289.0,858.0,2.0,58.0,5.0,29.0,5.0,4.0,1.0,17.0,5.0,3.3,11.47421582119874,6.754604099487962,4,1,4,9
89,1051.0,59.0,16.0,72652.0,19.0,5.0,763.0,196.0,8.0,58.0,3.0,26.0,8.0,5.0,26.0,35.0,6.0,2.9,11.193436197869334,5.278114659230517,3,4,3,10
90,1197.0,52.0,16.0,65484.0,21.0,17.0,898.0,146.0,28.0,80.0,3.0,15.0,1.0,1.0,12.0,40.0,7.0,3.3,11.089561116974233,4.983606621708336,3,4,3,10
91,561.0,49.0,15.0,65157.0,4.0,24.0,91.0,32.0,21.0,83.0,1.0,13.0,0.0,2.0,4.0,43.0,5.0,1.5,11.08455502114043,3.4657359027997265,1,4,2,7
92,561.0,49.0,18.0,77271.0,14.0,52.0,486.0,-9.0,53.0,94.0,1.0,5.0,0.0,0.0,2.0,57.0,7.0,1.5,11.255074002477121,0.0,3,3,3,9
93,655.0,64.0,16.0,82436.0,13.0,99.0,432.0,57.0,33.0,88.0,2.0,9.0,0.0,1.0,14.0,26.0,3.0,1.8,11.319777513691399,4.04305126783455,3,1,3,7
94,764.0,42.0,15.0,59497.0,4.0,89.0,72.0,10.0,30.0,41.0,8.0,41.0,4.0,6.0,48.0,53.0,5.0,2.1,10.993681170094515,2.302585092994046,1,1,2,4
95,709.0,60.0,16.0,79687.0,22.0,76.0,961.0,422.0,6.0,51.0,5.0,38.0,3.0,3.0,5.0,41.0,7.0,1.9,11.285861739805394,6.045005314036012,3,2,3,8
96,639.0,26.0,17.0,55257.0,12.0,79.0,390.0,-11.0,54.0,44.0,2.0,44.0,5.0,5.0,23.0,63.0,8.0,1.8,10.919750308187213,0.0,2,1,3,6
97,1012.0,20.0,14.0,16837.0,4.0,48.0,50.0,-5.0,73.0,14.0,14.0,32.0,24.0,16.0,50.0,73.0,9.0,2.8,9.7313341246578,0.0,1,3,1,5
98,1223.0,21.0,15.0,17584.0,3.0,50.0,39.0,-7.0,86.0,17.0,16.0,44.0,7.0,17.0,84.0,54.0,8.0,3.4,9.774744676643403,0.0,1,3,1,5
99,756.0,27.0,16.0,38520.0,3.0,32.0,44.0,1.0,46.0,27.0,7.0,39.0,12.0,15.0,25.0,70.0,8.0,2.1,10.558932865912062,0.0,1,3,1,5
100,885.0,74.0,18.0,110627.0,32.0,66.0,1597.0,455.0,2.0,64.0,1.0,22.0,6.0,8.0,1.0,15.0,2.0,2.4,11.613919461242851,6.12029741895095,4,2,4,10
101,976.0,74.0,16.0,119462.0,36.0,60.0,1851.0,631.0,0.0,30.0,16.0,35.0,15.0,4.0,4.0,10.0,1.0,2.7,11.690753608151843,6.447305862541213,4,2,4,10
102,591.0,20.0,14.0,25303.0,4.0,41.0,50.0,0.0,48.0,14.0,16.0,20.0,14.0,36.0,61.0,51.0,6.0,1.6,10.138678244761005,0.0,1,3,1,5
103,571.0,45.0,15.0,59725.0,3.0,99.0,64.0,8.0,35.0,85.0,1.0,12.0,1.0,1.0,7.0,53.0,6.0,1.6,10.997505972194011,2.0794415416798357,1,1,1,3
104,1113.0,72.0,20.0,104397.0,34.0,44.0,1725.0,753.0,2.0,42.0,14.0,39.0,2.0,3.0,4.0,13.0,2.0,3.0,11.555956218385615,6.6240652277998935,4,3,4,11
105,1062.0,78.0,15.0,118350.0,47.0,44.0,2528.0,789.0,1.0,16.0,7.0,55.0,8.0,15.0,1.0,9.0,2.0,2.9,11.68140161494213,6.670766320845874,4,3,4,11
106,1125.0,39.0,19.0,70908.0,19.0,33.0,768.0,154.0,23.0,83.0,0.0,14.0,2.0,1.0,18.0,41.0,6.0,3.1,11.169138541133675,5.0369526024136295,3,3,3,9
107,1014.0,39.0,18.0,57593.0,3.0,35.0,54.0,-14.0,77.0,57.0,1.0,35.0,1.0,5.0,17.0,66.0,8.0,2.8,10.961156311521107,0.0,1,3,1,5
108,893.0,25.0,14.0,43346.0,3.0,35.0,66.0,-6.0,69.0,25.0,14.0,23.0,13.0,24.0,42.0,53.0,7.0,2.4,10.676969705748347,0.0,1,3,2,6
109,807.0,24.0,17.0,20139.0,2.0,35.0,21.0,-4.0,88.0,19.0,24.0,40.0,1.0,15.0,11.0,51.0,7.0,2.2,9.910413512606862,0.0,1,3,1,5
110,991.0,34.0,19.0,50226.0,5.0,55.0,86.0,10.0,29.0,30.0,10.0,39.0,10.0,10.0,15.0,67.0,7.0,2.7,10.824288099888111,2.302585092994046,2,2,2,6
111,618.0,71.0,17.0,103487.0,25.0,3.0,1138.0,604.0,2.0,28.0,21.0,42.0,3.0,6.0,10.0,17.0,1.0,1.7,11.547201279934,6.403574197934815,4,4,4,12
112,573.0,73.0,19.0,109401.0,30.0,51.0,1472.0,543.0,1.0,63.0,2.0,33.0,1.0,1.0,3.0,9.0,1.0,1.6,11.602775309696066,6.297109319933935,4,3,4,11
113,749.0,55.0,18.0,87466.0,28.0,2.0,1336.0,671.0,1.0,50.0,8.0,19.0,21.0,2.0,7.0,20.0,2.0,2.1,11.379005425403694,6.508769136971682,4,4,4,12
114,914.0,36.0,14.0,46923.0,3.0,29.0,52.0,2.0,43.0,30.0,25.0,9.0,20.0,15.0,24.0,49.0,5.0,2.5,10.756263239342351,0.6931471805599453,1,3,1,5
115,982.0,73.0,19.0,100348.0,34.0,17.0,1722.0,832.0,1.0,72.0,1.0,24.0,1.0,2.0,1.0,14.0,2.0,2.7,11.51639942378173,6.723832440821209,4,4,4,12
116,1240.0,75.0,18.0,112806.0,36.0,61.0,1855.0,694.0,3.0,65.0,4.0,26.0,3.0,2.0,16.0,39.0,6.0,3.4,11.63342480812084,6.542471960506805,4,2,4,10
117,1018.0,31.0,20.0,46405.0,10.0,98.0,305.0,-48.0,84.0,69.0,1.0,29.0,1.0,1.0,13.0,58.0,8.0,2.8,10.745162491029493,0.0,2,1,2,5
118,1056.0,31.0,14.0,42797.0,3.0,0.0,54.0,-5.0,65.0,48.0,8.0,24.0,16.0,4.0,41.0,58.0,7.0,2.9,10.664223285655282,0.0,1,4,1,6
119,854.0,21.0,15.0,28857.0,2.0,83.0,33.0,-2.0,68.0,9.0,17.0,33.0,30.0,11.0,38.0,66.0,8.0,2.3,10.270107876820726,0.0,1,1,1,3
120,661.0,38.0,16.0,34314.0,1.0,145.0,9.0,-3.0,96.0,28.0,2.0,48.0,14.0,7.0,34.0,68.0,7.0,1.8,10.443308713143372,0.0,1,1,1,3
121,763.0,52.0,16.0,94976.0,21.0,91.0,895.0,392.0,8.0,73.0,2.0,19.0,3.0,3.0,2.0,54.0,7.0,2.1,11.461379507086997,5.971261839790462,3,1,3,7
122,1015.0,36.0,16.0,74114.0,14.0,57.0,496.0,-77.0,73.0,76.0,2.0,20.0,1.0,1.0,37.0,67.0,9.0,2.8,11.213359727311566,0.0,3,2,3,8
123,1120.0,60.0,15.0,100923.0,29.0,10.0,1399.0,611.0,1.0,57.0,11.0,21.0,4.0,7.0,21.0,37.0,4.0,3.1,11.522113128829222,6.415096959171596,4,4,4,12
124,680.0,54.0,17.0,81207.0,9.0,74.0,262.0,67.0,14.0,78.0,1.0,19.0,1.0,1.0,14.0,54.0,5.0,1.9,11.30475672933072,4.204692619390966,2,2,2,6
125,682.0,31.0,19.0,59777.0,4.0,2.0,90.0,5.0,39.0,63.0,2.0,31.0,1.0,3.0,5.0,62.0,7.0,1.9,10.99837625057064,1.6094379124341003,1,4,2,7
126,983.0,35.0,20.0,62709.0,2.0,15.0,30.0,-3.0,65.0,84.0,1.0,12.0,1.0,2.0,27.0,49.0,4.0,2.7,11.046260256989893,0.0,1,4,1,6
127,618.0,56.0,19.0,83985.0,14.0,56.0,483.0,136.0,27.0,90.0,1.0,8.0,0.0,1.0,4.0,28.0,3.0,1.7,11.338393490451104,4.912654885736052,3,2,3,8
128,817.0,70.0,19.0,115093.0,30.0,60.0,1475.0,667.0,1.0,39.0,11.0,31.0,4.0,15.0,8.0,14.0,1.0,2.2,11.653495776179417,6.502790045915623,4,2,4,10
129,793.0,71.0,16.0,112374.0,23.0,45.0,1023.0,256.0,14.0,53.0,10.0,25.0,2.0,10.0,1.0,33.0,3.0,2.2,11.62958787295791,5.545177444479562,3,3,3,9
130,1219.0,48.0,18.0,61753.0,21.0,0.0,894.0,246.0,27.0,54.0,6.0,23.0,7.0,10.0,22.0,30.0,6.0,3.3,11.03089783630606,5.5053315359323625,3,4,3,10
131,1139.0,24.0,16.0,31156.0,5.0,18.0,85.0,10.0,26.0,3.0,22.0,44.0,22.0,9.0,28.0,64.0,8.0,3.1,10.34676212203984,2.302585092994046,2,4,2,8
132,1063.0,38.0,16.0,49329.0,5.0,72.0,68.0,-19.0,90.0,64.0,6.0,19.0,10.0,0.0,40.0,49.0,5.0,2.9,10.806267422382335,0.0,2,2,2,6
133,808.0,48.0,19.0,71557.0,11.0,15.0,342.0,88.0,16.0,87.0,0.0,12.0,1.0,0.0,11.0,60.0,7.0,2.2,11.178249613881933,4.477336814478207,2,4,2,8
134,1129.0,42.0,19.0,60111.0,11.0,13.0,349.0,-39.0,69.0,76.0,1.0,22.0,1.0,0.0,2.0,44.0,7.0,3.1,11.003948132061856,0.0,2,4,2,8
135,741.0,61.0,15.0,72873.0,12.0,86.0,386.0,139.0,12.0,61.0,7.0,25.0,7.0,0.0,9.0,15.0,1.0,2.0,11.196473479022334,4.9344739331306915,2,1,3,6
136,823.0,56.0,17.0,91559.0,19.0,96.0,770.0,180.0,21.0,53.0,6.0,28.0,6.0,7.0,4.0,32.0,3.0,2.3,11.424738852206946,5.19295685089021,3,1,3,7
137,1039.0,42.0,15.0,61077.0,13.0,13.0,438.0,66.0,38.0,33.0,27.0,26.0,2.0,12.0,3.0,36.0,4.0,2.8,11.019890642212786,4.189654742026425,3,4,3,10
138,1079.0,54.0,17.0,62028.0,6.0,42.0,152.0,24.0,32.0,79.0,2.0,14.0,1.0,3.0,23.0,48.0,5.0,3.0,11.03534117498404,3.1780538303479458,2,3,2,7
